channel_id,channel_title,created_at,country,playlist_id,view_count,subscriber_count,video_count
UCL4r3zHKJpcJ0jEYSbobk1Q,BIBO와 장난감,2016-08-08T09:29:58Z,KR,UUL4r3zHKJpcJ0jEYSbobk1Q,3804115919,14900000,245
UCU2zNeYhf9pi_wSqFbYE96w,Boram Tube Vlog [보람튜브 브이로그],2012-02-21T10:17:59Z,US,UUU2zNeYhf9pi_wSqFbYE96w,13965776572,31100000,246
UCJedRe-OQCN-75DhLmG3VPQ,Boram Tube [宝蓝和朋友们],2016-10-11T02:38:39Z,KR,UUJedRe-OQCN-75DhLmG3VPQ,2615589643,9420000,561
UCscjd-azZ1AqHxxrO6YDIQg,베이비버스 -인기 동요・동화,2016-08-31T02:48:32Z,KR,UUscjd-azZ1AqHxxrO6YDIQg,4626692205,6310000,2166
UCLB6-ZZk3ShmiqW7rQxkCNw,로미유 스토리 Romiyu Story,2014-05-01T06:18:18Z,KR,UULB6-ZZk3ShmiqW7rQxkCNw,381077675,4050000,268
UCMY30BnMbn6wElwLvDgcajw,MariAndToys,2016-10-09T12:24:57Z,KR,UUMY30BnMbn6wElwLvDgcajw,872577,3050000,71
UCK2GFjc2PnRViSHRObX5nKA,키즈팡TV,2013-07-17T07:48:58Z,KR,UUK2GFjc2PnRViSHRObX5nKA,2763550863,4590000,2479
UCI8RJKzD-Yo7X0hUwUdXt2w,Kongsuni and Friends,2017-04-19T07:41:13Z,GB,UUI8RJKzD-Yo7X0hUwUdXt2w,968084519,1460000,1112
UCNBg4Cf6kf8bccKgYiYTbsA,Lime Doodles,2016-06-23T08:35:26Z,KR,UUNBg4Cf6kf8bccKgYiYTbsA,1311347931,3430000,1971
UCxutPqfWSdYqaK8_tlc5PBA,Lime Tube[라임튜브],2014-07-31T01:26:45Z,KR,UUxutPqfWSdYqaK8_tlc5PBA,3051459644,3850000,2482
UCpXZCwwJ-4WGIXTxZBAZSKw,Boram y Juguetes,2017-11-29T06:12:45Z,,UUpXZCwwJ-4WGIXTxZBAZSKw,881902545,3540000,496
UCnHCaT79--qqZKBSWoJq_NA,With Kids Playground [위드키즈 놀이터],2017-01-04T15:11:02Z,TH,UUnHCaT79--qqZKBSWoJq_NA,2493534845,6770000,608
UCnCXqo9jcQaHjW0iZM7tPOQ,스위트티비 SweetTV,2015-09-13T01:41:27Z,KR,UUnCXqo9jcQaHjW0iZM7tPOQ,2928322666,5480000,436
UCxUZwdsqshu2iLQwdEE6e7Q,꼬마버스 타요,2016-05-30T05:56:10Z,KR,UUxUZwdsqshu2iLQwdEE6e7Q,2400587111,3650000,3010
UC-YR_CCd3w5R9AUopxebsAw,Zorip - Nursery Rhymes,2019-07-02T06:29:23Z,KR,UU-YR_CCd3w5R9AUopxebsAw,1000343618,2920000,25
UCCm2KbqcqCiHNdt4xD_Gzhg,유니가치 YuniGachi,2015-12-11T12:53:14Z,KR,UUCm2KbqcqCiHNdt4xD_Gzhg,80891929,3720000,110
UCobTjybs6aP0ECliVTqbmog,TOY GUMA,2011-01-12T15:33:26Z,,UUobTjybs6aP0ECliVTqbmog,1832818836,5420000,397
UC7AmWE0eqBymIWwRnk8vmqg,두두팝토이,2019-09-10T07:39:30Z,KR,UU7AmWE0eqBymIWwRnk8vmqg,1076902174,1930000,1545
UCUf7BpZJOP4YnfF2iVDt-_Q,PinkyPopTOY,2017-03-21T17:18:37Z,KR,UUUf7BpZJOP4YnfF2iVDt-_Q,1393299098,5800000,4064
UCqvhycZ4nzxTHU4RxHjYgWQ,티디키즈 (인기 동요・동화),2017-12-07T00:52:45Z,KR,UUqvhycZ4nzxTHU4RxHjYgWQ,2618552816,3760000,848
UCPGFLUUESbnhkOTpIt71Awg,MariAndKids,2016-03-02T14:44:37Z,KR,UUPGFLUUESbnhkOTpIt71Awg,2206440563,7690000,727
UCbWPYsyJX1-7uvfOw3LkLqw,ToyMart TV,2016-02-15T09:15:06Z,US,UUbWPYsyJX1-7uvfOw3LkLqw,2011992322,4790000,801
UCDHIA4d_e4SOrODpU7nrVtA,럭키강이 LuckyKang i,2017-05-15T09:20:10Z,KR,UUDHIA4d_e4SOrODpU7nrVtA,1549568529,3240000,1590
UCPUeGC_AL-OnDQORKhRm6iA,뽀로로(Pororo),2011-05-26T01:13:40Z,KR,UUPUeGC_AL-OnDQORKhRm6iA,7854782320,5970000,4875
UCCqAU0_8JgGxZs_Hslyzn-Q,Bob ToysReview,2013-06-03T09:05:20Z,KR,UUCqAU0_8JgGxZs_Hslyzn-Q,1332153804,3130000,196
UC2NvqL2gbWQXbfnLN7C9XFg,SonicToy소닉토이,2015-04-29T11:14:20Z,KR,UU2NvqL2gbWQXbfnLN7C9XFg,3277015186,7170000,222
UCDuoZoikGpBAlX4BZBDdGtw,미니팡TV,2016-07-26T09:20:42Z,KR,UUDuoZoikGpBAlX4BZBDdGtw,4265834974,6560000,1002
UC3pnQ7MHDABUFungNcMQ7dA,Boram Tube ToysReview [보람튜브 토이리뷰],2016-05-18T18:09:14Z,KR,UU3pnQ7MHDABUFungNcMQ7dA,5137762249,14700000,660
UCx4IY_sYVTL6RQu30Cprm8A,미니특공대TV,2016-07-26T09:19:43Z,KR,UUx4IY_sYVTL6RQu30Cprm8A,4577823162,8220000,1658
UCfVd4ZgG0hwe3F0cqRTvUWQ,CoCosToy 꼬꼬스토이,2009-04-16T07:42:45Z,KR,UUfVd4ZgG0hwe3F0cqRTvUWQ,3571970181,5220000,915
UCph-WGR0oCbJDpaWmNHb5zg,Larva TUBA,2011-09-23T09:04:57Z,KR,UUph-WGR0oCbJDpaWmNHb5zg,4751004520,10300000,2313
UCraaN4FiNe7l3F4XR6s246A,서은일상이야기,2017-03-08T14:22:44Z,KR,UUraaN4FiNe7l3F4XR6s246A,608756631,14100000,390
UCVihezVtsguXEouYvtKmKYA,서은이야기[SeoeunStory],2016-05-01T15:22:08Z,KR,UUVihezVtsguXEouYvtKmKYA,1945883423,9230000,1288
UCIAH4FXl2DQ4HmLupsyFiug,MariAndFriends,2015-06-10T13:06:24Z,KR,UUIAH4FXl2DQ4HmLupsyFiug,2745739282,3650000,2444
UCx_dzPI6efSohgtOkAG43-A,EBS 키즈,2011-06-02T00:08:44Z,KR,UUx_dzPI6efSohgtOkAG43-A,5255931456,3860000,23833
UCD_-N4vf-tsqbUxrQ4CrJIA,깨비키즈 [KEBIKIDS],2015-06-22T08:45:55Z,KR,UUD_-N4vf-tsqbUxrQ4CrJIA,4090390422,4590000,2609
UC7UbS3kToagugtwtcF2m3Fg,리월드RIWORLD,2017-03-26T13:07:05Z,KR,UU7UbS3kToagugtwtcF2m3Fg,1420964954,3230000,218
UCGwA4GjY4nGMIYvaJiA0EGA,English Singsing,2014-04-21T08:33:03Z,KR,UUGwA4GjY4nGMIYvaJiA0EGA,1121006302,4820000,1515
UCqXwKu6dKobXEQFhdKtiJLQ,핑크퐁 (인기 동요・동화),2014-03-11T06:13:16Z,KR,UUqXwKu6dKobXEQFhdKtiJLQ,8588996580,12700000,3882
UCAAyQrLDrcK0h1Ll3g8lURw,Milana FamilyShow[EN],2014-05-25T11:11:20Z,US,UUAAyQrLDrcK0h1Ll3g8lURw,827784539,3610000,64
UCdet8uJfTFlACtY05BQmJ1Q,헤이지니 Hey Jini,2017-05-15T09:20:40Z,KR,UUdet8uJfTFlACtY05BQmJ1Q,3338997871,4070000,1814
UCbVe9XTYtziGGqXMZ6L6hCA,Adventure Story,2013-02-19T21:32:41Z,GR,UUbVe9XTYtziGGqXMZ6L6hCA,3548897,23800,996
UCqjTqdVlvIipZXIKeCkHKUA,オリバー・エバンス / Oliver Evans 【にじさんじ】,2021-07-01T08:02:45.661873Z,JP,UUqjTqdVlvIipZXIKeCkHKUA,36681513,325000,672
UCCrGfO9A8eLdSsB4bWbMhTg,Boys Playtime,2018-02-08T12:45:55Z,KR,UUCrGfO9A8eLdSsB4bWbMhTg,1706687182,3640000,827
UCHW84cp8kDx9RGOJBtf9PUQ,요올리Yoli,2013-06-15T15:18:07Z,KR,UUHW84cp8kDx9RGOJBtf9PUQ,1513906534,3150000,1203
