channel_id,channel_title,subscribers,total_views,video_count,description
UCcdwLMPsaU2ezNSJU1nFoBQ,Baby Shark - Pinkfong Kids’ Songs & Stories,79500000,47497893810,3409,"Welcome to Pinkfong's official YouTube channel. Meet Pinkfong’s fun, educational videos that captured the hearts of millions of children around the world.

Subscribe to Pinkfong Baby Shark’s channel for kids’ favorite songs & stories created by professionals in child education.

Follow Pinkfong on social media for new updates and free promotions.
★ Website: https://www.thepinkfongcompany.com/
★ Twitter: https://twitter.com/pinkfong
★ Instagram: https://www.instagram.com/pinkfong.official
★ Facebook: https://www.facebook.com/pinkfong.official
★ TikTok: https://www.tiktok.com/@pinkfong_official 

[IMPORTANT]
Kindly be noted using The Pinkfong company’s all creative content such as music or animation (collectively as ""Content"") with no prior permission from The Pinkfong Company is illegal. 

For any inquiries about using Pinkfong's Content for commercial or non-commercial use, kindly contact us through below business inquiry link:
https://bizhelp.pinkfong.com/hc/en-us
"
UCx790OVgpTC1UVBQIqu3gnQ,★ Kids Roma Show,39100000,16123190904,748,"Welcome to Roma and Diana world - where Roma, Diana, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.
All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.
E-mail: dianaromabiz@gmail.com
"
UC7Pq3Ko42YpkCB_Q4E981jw,Kids TV - Nursery Rhymes And Baby Songs,30500000,15327676492,4278,"Welcome to Kids TV, where the warmth of childhood meets the joy of learning through fun nursery rhymes and toddler songs! 

Our engaging 3D animation videos are designed to both educate and entertain your little ones. Dive into a world of fun and learning with popular favorites like ""Baby Shark,"" ""Johny Johny Yes Papa,"" ""Twinkle Twinkle Little Star,"" ""Wheels on the Bus,"" ""ABC Song,"" ""Colors Song,"" and many more! Join the sing-along and dance-along adventure today!

Kids TV brings you a world of fun with popular cartoons like Bob the Train, Baby Toot Toot, Super Supremes, Junior Squad, Loco Nuts, Zoobees, Dinobees, Booya, and the adorable Little Eddie. Enjoy these cartoons in different languages from around the globe!

Subscribe now to get notified about new videos - https://www.youtube.com/kidstv?sub_confirmation=1
"
UCLbyJSPEe2lx3jY-G0CFR3g,Vania Mania Kids,28800000,14641001058,1401,"Hi and welcome! We are a big family. Mom, Dad and the kids Ivan, Maria, Stephi, Dasha and Alex! Yep, there are 5!

Let your children join the fun! Please support us by subscribing and liking :)
"
UC5PYHgAzJ1wLEidB58SK6Xw,Blippi - Educational Videos for Kids,22500000,16528363299,1192,"Come explore the wondrous world with everybody's best friend, Blippi. How does a recycling truck work? What does a baker do? What is the best playground around? There are so many exciting things to explore and learn. Feed your kids’ curiosity while they learn about vehicles, animals, the natural world and so much more. Blippi helps children‘s understanding of the world and encourages vocabulary development. Blippi loves visiting exciting places such as children’s museums and the zoo! He loves singing, dancing, playing and exploring. His contagious curiosity engages young viewers in learning adventures that help them both grow and develop.

Music ► https://lnk.to/BlippiYTB
Facebook ► https://www.facebook.com/Blippi 
Instagram ►https://www.instagram.com/Blippi
TikTok ► https://www.tiktok.com/@blippi
Moonbug ► https://www.moonbug.com/about
"
UC6ye474SJCiPsEPueO_b3Gw,With Kids[위드키즈],17800000,9389514401,1032,"[With Kids]채널은?
★ 아빠와 함께 아들인 예준이가 만들어 가는 키즈 채널입니다
★ 예준이와 아빠가 함께 장난감 놀이를 하며 도전하고 경험하고, 서로 대화하고 학습하며 같은 시간을 공유하는 재미있는 영상을 만들려고 노력하고 있습니다.
★ 구독 + 좋아요 + 댓글 + 공유 해주시면 With Kids채널에 큰 힘이 된답니다 ^^

★ We Make Kids Video Channel My son, Ye Jun With Daddy
★ Ye Jun and Dad are Trying to Create and Funny Kids Videos That Challenge, Experience, Communicate, Learn and Share the Same Time Together With Toy Play
★ Please Subscribe+Like + Comment+share our channel and give us extra ENERGY and FEEDBACK to share on the [With Kids] channel!

★[With Kids] E-Mail : loveis3478@gmail.com"
UClyPv5RRfYdUFv2SsgV5uMw,Kids Play,16700000,8840903621,668,"Welcome to KidsPlay!

KidsPlay is a place where kids can have fun and learn with our family friendly videos!"
UC2RNg_QGZriSGQo6enPLpeQ,Super Crazy Kids,12200000,6450377109,943,"Super Crazy Kids Is The Channel For Kids To Learn Colors, Shapes, Numbers With High-Quality 3D Animation Videos, Come And Join For Different Coloring Videos For Kids...
This Is The Right Place For Kids To Learn. A Joyful Learn With Funny Cartoons And Your Favorite Animals, Toddlers, And Animation Videos And Other To Have A Fun...

Hope You Enjoy... 
Share Your Response By Commenting And Show Your Interest By Liking Videos...

Please Follow The Below Link To Subscribe...
or
Simply Click On Our Channel Below and Then Subscribe...
https://goo.gl/qQOSTh

Don't Forget To To Share....... Have A Fun Learning... Thank You For Watching.

Ⓒ All Content & Copy Rights Managed By HYPER INTERACT SERVICES PVT LTD..
"
UCcOj1rEHLhu3QDHP_gGgVkg,Kids Learning Songs,10200000,6229036412,764,"Hello and welcome to our channel! Here you will find the most beautiful Kids Learning Songs for all the little ones, with a big variety of Nursery Rhymes Songs and Rhymes. From Finger Family To Clap your Hands and Johny Johny, your child will learn with us the magic of singing and learning. 
Enjoy!"
UC977n5nXRn8MDuGQjwxkOLw,Cartoons for Kids,9080000,3481582333,2701,"Welcome to Cartoons for Kids! 

Follow the fun and amazing adventures of the animated version of Mr Bean, the British icon of the 1990s and a comedy for fans of all ages. Starring Rowan Atkinson.

Subscribe!

#mrbean #mrbeancartoons #cartoonsforkids #mrbeananimated
"
UCeZQXIvIl3Nt53JhP9bv-LA,Toy For Kids [토이포키즈],8630000,2976791713,67,"Welcome to Toy For Kids [토이포키즈] Youtube Channel !

Toy For Kids [토이포키즈] Lightning Mcqueen, The Little Bus Tayo, Paw Patrol, 
Thomas and Friends, Robocar Poli, Pj Masks, Playmobil, Disney toys, Super Wings, Dinosaur, 
Trains, Construction Equipment, Trucks, Excavator, Tractors, Planes, Boats, 
Fire trucks, Police Car, Play-Doh, Surprise Eggs, Animals...

Incorporating cartoons and learn colors, numbers, the alphabets, 
character names with real life footage and many more.

Enjoy kid playing with toys channel.
Thanks for visiting our channel and enjoy our video.

광고 관련, 기타 사항 문의는 비즈니스 메일을 이용해주시기 바랍니다. 감사합니다^^
If you have any inquiries about advertising, please contact us via e-mail. Thanks :) 

Business e-mail : gramrose@gmail.com"
UCnHCaT79--qqZKBSWoJq_NA,With Kids Playground [위드키즈 놀이터],6770000,2492912065,607,"Wiith Kids Playground [위드키즈 놀이터] 채널은?

★ 아빠와 함께 아들인 예준이가 만들어 가는 키즈 채널입니다
★ 예준이와 아빠가 함께 장난감 놀이를 하며 도전하고 경험하고, 서로 대화하고 학습하며 같은 시간을 공유하는 재미있는 영상을 만들려고 노력하고 있습니다.
★ 구독 + 좋아요 + 댓글 + 공유 해주시면 With Kids Playground [위드키즈 놀이터] 채널에 큰 힘이 된답니다 ^^

★ We Make Kids Video Channel My son, Ye Jun With Daddy
★ This Channel is About Kids Playing Mostly at Outdoor Indoor Playground, Amusement Theme Park for Family and Kids Funny Video
★ Family Fun Playtime With Indoor Playground Play Area for Kids! This play Area for children had kids mini cars on the playground. Play fun in Toddler play center with toys! 
★ Please Subscribe+Like + Comment+share our channel and give us extra ENERGY and FEEDBACK to share on the Channel!"
UCURffR0e_FPKnDuzQ0XyWhw,위드키즈 토이즈 [With Kids Toys],6550000,3171161591,874,"안녕하세요~! WITHKIDS & TOYS 입니다.

WITHKIDS TOYS 채널에 오신것을 환영합니다.
우리채널에서는 다양한 자동차 장난감 , 중장비 트럭 , 건설기계 장난감을 이용하여 재미있는 영상을 제작하고 있습니다.
흥미로운 새로운 장난감 개봉 및 구출놀이, 모래놀이, 공룡놀이, 트럭 자동차 모험놀이와 게임 플레이 영상을 함께 즐기실수 있는 다채로운 채널입니다.
또한 다양한 R/C 장난감을 만나실수 있습니다.

Welcome to the WITHKIDS TOYS channel.
Our channel produces interesting videos using various toy cars, heavy equipment trucks, and construction machinery toys.
It is a colorful channel where you can enjoy interesting new toy opening and rescue play, sand play, dinosaur play, truck car adventure play and game play videos together.
You can also meet various R/C toys.

★[With Kids & Toys] E-Mail : withkidstoys@gmail.com"
UCjVkjd2VWCWO-9DHRQER3Yg,KidsCamp Nursery Rhymes & Learning Videos for Kids,6150000,4043881926,1225,"Welcome to Kidscamp! Join Elly and her little sister Eva as they sing and dance on a colorful journey through the wonderful world of songs and rhymes. Learn all about the Alphabet, Numbers, Shapes and Colors through the charming series ‘The World of Elly’ as she comes across curious situations and learns about them in the most creative and innovative manner.

Watch your Favourite KidsCamp Nursery Rhymes Ad-Free on the ABC Plus App on the Apple App Store. Free Trial for 7 days. Click here - https://onelink.to/abcplusapp

"
UCscXMFbjj0JUFgoEHqhbo1A,For Kids TV,5850000,2286050456,2323,"
По всем вопросам сотрудничества и размещения рекламы обращайтесь partnership@xmediadigital.ru
For all partnership and advertising requests please contact us by e-mail partnership@xmediadigital.ru"
UC12_HhJo54uqZ5m6xCjoOFA,Super Kids TV,5730000,1927468351,23,"Super Kids TV is an online educational channel dedicated to entertain and educate toddlers, Pre and kindergarten kids. 

Copyright © 2015-2019  Little Brain Works Private Limited. All Rights Reserved."
UCo0ZBPbg3aVEO88tNwLwdDA,Kids Funny Songs,5710000,4414180640,1369,"Kids Funny Songs

"
UCqa2MPu8bLY1PwVFUpSyVhQ,HiHo Kids,5510000,4001452920,1035,"Sponsor Our Videos: https://www.cut.com/partnerships

Be sure to Subscribe for more fun videos!
"
UCudZ1fVvCSPMoVcqa7kxgGw,Kids Videos,4990000,2654025004,2432,
UCx_dzPI6efSohgtOkAG43-A,EBS 키즈,3850000,5238868082,23826,"Developing high quality educational contents so that our youth can be the creative leaders of tomorrow. leading the children and preschool fields, EBS is broadcasting excellent educational contents.

EBS는 유아,어린이들이 미래를 위해 꿈을 실현할 수 있도록 교육적 요소와 오락적 요소를 적절하게 조화시킨 양질의 에듀테인먼트 프로그램을 방송합니다."
UChz5aEi3dfrDVC8-YJsMUDA,T-Series Kids Hut,3370000,1180289638,1461,"Kids Hut Channel is filled with all the popular NURSERY RHYMES, BEDTIME STORIES & THINGS YOU(KIDS) WANT TO KNOW. All The Voice Over Of The Channel Are Done By Renowned Bollywood Singer Tulsi Kumar. Popular Nursery Rhyme Characters comes alive to make you kids sing and dance, there is a new adventure to find with Tia and Tofu every time you visit Kids Hut. Tia and Tofu are all set to take you on this adventure trip to the Magical Place called Kids Hut, Join Kids Hut and be a part of our Kids Hut Family."
UCrUlt5TwS6OUD8xpC36EBvw,We Are Kids United,3110000,1603146476,117,"Bienvenue sur notre chaine Youtube officielle ! N'hésitez pas à ""Liker"", commenter et partager nos vidéos avec vos amis ! On vous embrasse, à très vite !"" Les Kids United Nouvelle Génération : Dylan, Gloria, Ilyana, Nathan, Valentina.

Notre album Best Of à paraître le 23 octobre est disponible dès maintenant en précommande : https://playon.lnk.to/kidsUnitedBestOf"
UC-8xPSlb0xDYqSuIWcdcPAQ,지니키즈 Genikids (인기 동요・동화),1850000,1603353659,1386,"Play & Learn 

놀면서 배우는 재미있는 스마트 학습 놀이터 '지니키즈 Genikids' 입니다.
동요, 동화 뿐 아니라 안전건강, 인성발달, 직업 체험, 누리과정 등 아이들의 창의성과 지능 계발에 도움되는 다양한 놀이활동 애니메이션이 준비되어 있답니다.


YouTube  지니키즈 채널 구독하시고
더 많은 애니메이션을 보고 싶으시면 지니키즈 사이트도 찾아주세요!
http://www.genikids.com

ⓒ모든 콘텐츠 저작권은 (주)브릭슨에 있습니다. 
저작권자의 허락없이 무단 도용, 상업적인 사용을 금하며 이를 어길 시 법적 책임을 물을 수 있습니다.


★콘텐츠 제작 의뢰는 비즈내스 문의 메일은 GK_biz@genikids.com 메일 주소로 연락 바랍니다.

Copyright ⓒ Brixen, co., Ltd. All Rights Reserved.
"
