video_id,view_count,like_count,comment_count
B5bIl0_RPsI,1711,17.0,0.0
d0RGc32i41o,9152,33.0,0.0
4Eeihsk8ytQ,40776,1113.0,0.0
2JF1gEwAVp0,23468,71.0,0.0
jjqxyxMWgoY,8974,35.0,0.0
n5FQlMfXnLU,201126,3673.0,0.0
0mvSFNGbMJw,16692,41.0,0.0
XBiSNoLuBx8,64789,151.0,0.0
grYfGYfNubA,92600,2631.0,0.0
NlmArfvfwbA,245294,688.0,0.0
uGCEesHcpok,25131,51.0,0.0
RT35fGMlNrs,83575,2626.0,0.0
ueWyQgzjQOk,34800,48.0,0.0
dKptYMuuw_Y,112903,3191.0,0.0
Z9lE595D8tE,63262,107.0,0.0
Qt-musNeJhE,38046,60.0,0.0
Z8i4j_pkoFs,51689,86.0,0.0
-OV11m8EM2g,437587,11822.0,0.0
tKimKRSwMYE,77150,104.0,0.0
paKNN6zDE3M,66802,132.0,0.0
4Ti41CMOqdc,206866,5230.0,0.0
zTpOqO7SvvI,181947,5401.0,0.0
QQtGTbqejiA,31862,61.0,0.0
lWM-3e5BEnw,68701,162.0,0.0
1AoyrsLXGQc,174792,303.0,0.0
w7iopkIbz1s,197662,374.0,0.0
cVoDkKwPdOA,321770,7974.0,0.0
Xjnd55QXpA4,23750,34.0,0.0
7uDWUA2xJq0,182298,5751.0,0.0
wTc_Y1CoOLE,36576,50.0,0.0
XgDDCWvs1JU,17688,19.0,0.0
lFd7-IPQSqY,22453,32.0,0.0
WTJ3MVG995s,10834,15.0,0.0
UgOF0f3v73s,11641,23.0,0.0
NSkLk48eR5k,11413,16.0,0.0
8dGsawIB-NI,11455,15.0,0.0
0GsWi1aS27U,12407,20.0,0.0
9wd-bO5cCag,46498,80.0,0.0
a009qFTZhzk,61413,119.0,0.0
v0tVbfoEe9k,141391,193.0,0.0
0-yssNs7Xp4,1063796,2096.0,0.0
Y8nO52Me_d8,283990,794.0,0.0
-bXZT395788,6177171,100811.0,0.0
5_MJEzVg63w,489267,11645.0,0.0
iAP1q14JosU,32629,109.0,0.0
h_J2zIgKynY,448628,11967.0,0.0
TPJcGes8FUw,55431,163.0,0.0
6Gr7p29e6QA,317451,816.0,0.0
h7gjSeGvsI8,746176,697.0,0.0
ON5HmLFjs9o,64035,108.0,0.0
FBEXedwwtoU,412750,12787.0,0.0
jmXfQp1s2kU,1260040,27525.0,0.0
6o9XXQPeAHs,2631494,45406.0,0.0
USCyA6LcNvg,93095,192.0,0.0
T4_aQ2nLUlE,47658,93.0,0.0
RDw3KwnIbMg,519605,1017.0,0.0
hnTS0IaS5bY,52309,84.0,0.0
USPMpP-WdBg,12607623,169291.0,0.0
PP_o6KmUKGA,385630,9106.0,0.0
fFUdttkzOWg,483298,1002.0,0.0
rb8xAVWnO0g,88464,90.0,0.0
0qYAPvw046s,1432465,1346.0,0.0
FLAkP1whp84,790867,2158.0,0.0
OjJuZ2RcJgA,786144,18170.0,0.0
y37DWkr_PG0,15793436,214042.0,0.0
aOqoMyS1dn8,46279,94.0,0.0
6a3qs0Bv-6Q,39172,98.0,0.0
icGDGGutaI4,128043,227.0,0.0
uHjIgBEZEjU,1164186,22995.0,
W6c7rRhGUEY,810183,731.0,0.0
k4Nzk1rAid0,65331,112.0,0.0
cLi4WqygqKg,607210,13596.0,0.0
okrFT_7S3F4,1360600,1369.0,0.0
32EHZctgc-M,1506108,27234.0,0.0
cZMu5nPdqY0,323059,519.0,0.0
ZGk7QUsqWKk,152392,248.0,0.0
r_Msfig7i2E,505948,14276.0,0.0
FeFffcBrpCc,2069710,3232.0,0.0
P5R3rcMQBDI,907430,18805.0,0.0
2moeBc9GW5U,110288,223.0,0.0
ElRFCfE48II,138185,115.0,0.0
EshEtU4mc-8,834591,20188.0,0.0
w8CLBrpuAjk,1955756,38850.0,0.0
oR3KUc214Oc,47190,59.0,0.0
WgRkiz6eV6I,26057,46.0,0.0
mf20T5_ZPSI,52805,54.0,0.0
Q4f9QJ4mRng,842188,590.0,0.0
NBWCVjGcoUw,514975,12682.0,0.0
zL_RNVwBY_k,48927,109.0,0.0
t75jHTtZ5SA,46079,138.0,0.0
mR7G-Vdq2jI,665205,13997.0,0.0
ADYd7RmqSWk,751426,16796.0,0.0
0Hyov4MSvr4,60414,137.0,0.0
gHtQytvjdtE,206289286,2818270.0,0.0
FZi1-fahck8,43253,55.0,0.0
cLl1pdtQ43w,254102,477.0,0.0
WlN_Ai0jQU4,917031,19530.0,0.0
A-MXyZ10ZXM,941309,2026.0,0.0
agIGausE4v8,117816,175.0,0.0
worWmmgxrqQ,44510,98.0,0.0
_gYo00lS8Bc,70201280,985580.0,0.0
T8OxbM8Ock4,5396853,86113.0,0.0
sIBgA7iJOSE,718485,14919.0,0.0
gD6ehMyaZIY,871060,17410.0,0.0
Ndc6PXY3zZc,53731,84.0,0.0
SvtURznQWOk,180434,344.0,0.0
7Tqk_3gAFnI,6509306,14712.0,0.0
J6XtawMyz1Q,63583,135.0,0.0
IAfEIMj38Nw,114794,161.0,0.0
6FwI-IO19Tg,482545,9049.0,
sp_nmjrsPl8,994548,16276.0,0.0
tdUIONJe7Hc,378580,6086.0,0.0
rceoHRrUCd8,48723,82.0,0.0
gSzL0WlkVBc,46229,69.0,0.0
D5TdSq2ne9U,40485,58.0,0.0
-pYMlOY-lmw,168440,329.0,0.0
Stm-I-nA884,1023929,15559.0,0.0
xguEhDUrwVQ,9572627,118383.0,0.0
a0VIUC2IntI,38245,67.0,0.0
xgtuAFjYqRc,48350,76.0,0.0
CMXJWUhkDgk,92430,126.0,0.0
cr6BuBGzG6A,461775,10413.0,0.0
4_GEbZYnffA,3356744,5437.0,0.0
wcd9Ke9v-wA,815910,16889.0,0.0
dr5jGQZHkGk,39028,55.0,0.0
R0IulXvdqdg,2551595,40623.0,0.0
HeeQxp_BdIg,63067,119.0,0.0
