channel_character,category_name,view_count_category,video_count_category,video_count_total,view_rate,proportion,kpi
Pinkfong,Education,1180644824,3246,3332,363722.98952556995,0.9741896758703481,354335.181272509
Pinkfong,Pets & Animals,2242365,3,3332,747455.0,0.000900360144057623,672.9786914765906
Pinkfong,Entertainment,26232593,76,3332,345165.69736842107,0.022809123649459785,7872.927070828332
Pinkfong,Sports,426128,1,3332,426128.0,0.00030012004801920766,127.88955582232892
Pinkfong,Gaming,1260783,3,3332,420261.0,0.000900360144057623,378.3862545018007
Pinkfong,Film & Animation,274280,2,3332,137140.0,0.0006002400960384153,82.31692677070828
Pinkfong,People & Blogs,48591,1,3332,48591.0,0.00030012004801920766,14.58313325330132
Ollie,Entertainment,88946210,700,1166,127066.0142857143,0.6003430531732419,76283.19897084049
Ollie,Film & Animation,56983073,462,1166,123339.98484848485,0.39622641509433965,48870.56003430532
Ollie,Gaming,36597,2,1166,18298.5,0.0017152658662092624,31.38679245283019
Ollie,Education,236659,2,1166,118329.5,0.0017152658662092624,202.9665523156089
