channel_character,published_at,view_count,like_count
Pinkfong,2024-12-26 19:00:38,9152,33.0
Pinkfong,2024-12-25 10:00:05,40776,1113.0
Pinkfong,2024-12-25 10:00:02,23468,71.0
Pinkfong,2024-12-24 19:00:52,8974,35.0
Pinkfong,2024-12-24 19:00:52,201126,3673.0
Pinkfong,2024-12-22 10:00:00,16692,41.0
Pinkfong,2024-12-21 10:00:32,64789,151.0
Pinkfong,2024-12-20 19:00:48,92600,2631.0
Pinkfong,2024-12-20 19:00:31,245294,688.0
Pinkfong,2024-12-19 19:00:56,25131,51.0
Pinkfong,2024-12-18 19:00:35,83575,2626.0
Pinkfong,2024-12-18 19:00:06,34800,48.0
Pinkfong,2024-12-17 19:00:40,112903,3191.0
Pinkfong,2024-12-15 10:00:27,63262,107.0
Pinkfong,2024-12-14 10:00:30,38046,60.0
Pinkfong,2024-12-13 19:00:29,51689,86.0
Pinkfong,2024-12-13 19:00:00,437587,11822.0
Pinkfong,2024-12-12 19:00:06,77150,104.0
Pinkfong,2024-12-11 19:00:51,66802,132.0
Pinkfong,2024-12-11 19:00:09,206866,5230.0
Pinkfong,2024-12-10 19:01:03,181947,5401.0
Pinkfong,2024-12-08 10:00:16,31862,61.0
Pinkfong,2024-12-07 10:00:29,68701,162.0
Pinkfong,2024-12-06 19:00:01,174792,303.0
Pinkfong,2024-12-05 19:01:06,197662,374.0
Pinkfong,2024-12-04 19:00:42,321770,7974.0
Pinkfong,2024-12-04 19:00:36,23750,34.0
Pinkfong,2024-12-03 19:00:13,182298,5751.0
Pinkfong,2024-12-02 12:00:43,36576,50.0
Pinkfong,2024-12-02 12:00:32,17688,19.0
Pinkfong,2024-12-02 12:00:28,22453,32.0
Pinkfong,2024-12-02 12:00:23,10834,15.0
Pinkfong,2024-12-02 12:00:22,11641,23.0
Pinkfong,2024-12-02 12:00:19,11413,16.0
Pinkfong,2024-12-02 12:00:04,11455,15.0
Pinkfong,2024-12-02 12:00:00,12407,20.0
Pinkfong,2024-12-01 10:00:05,46498,80.0
Pinkfong,2024-11-30 10:00:00,61413,119.0
Pinkfong,2024-11-25 19:00:47,448628,11967.0
Pinkfong,2024-11-29 19:00:58,141391,193.0
Pinkfong,2024-11-27 19:00:27,283990,794.0
Pinkfong,2024-11-26 19:00:07,489267,11645.0
Pinkfong,2024-11-26 09:06:39,32629,109.0
Pinkfong,2024-11-24 11:00:22,55431,163.0
Pinkfong,2024-11-23 10:00:03,317451,816.0
Pinkfong,2024-11-22 19:00:49,746176,697.0
Pinkfong,2024-11-21 19:00:25,64035,108.0
Pinkfong,2024-11-20 19:00:17,412750,12787.0
Pinkfong,2024-11-17 10:00:18,93095,192.0
Pinkfong,2024-11-16 10:00:30,47658,93.0
Pinkfong,2024-11-15 19:00:34,519605,1017.0
Pinkfong,2024-11-14 19:00:52,52309,84.0
Pinkfong,2024-11-12 19:00:20,385630,9106.0
Pinkfong,2024-11-10 10:00:27,483298,1002.0
Pinkfong,2024-11-09 10:00:38,88464,90.0
Pinkfong,2024-11-04 19:00:01,46279,94.0
Pinkfong,2024-11-03 10:00:03,39172,98.0
Pinkfong,2024-11-02 10:00:06,128043,227.0
Pinkfong,2024-10-31 19:01:04,65331,112.0
Pinkfong,2024-10-31 19:00:55,607210,13596.0
Pinkfong,2024-10-27 10:00:31,323059,519.0
Pinkfong,2024-10-26 10:00:30,152392,248.0
Pinkfong,2024-10-25 19:01:07,505948,14276.0
Pinkfong,2024-10-24 19:00:03,110288,223.0
Pinkfong,2024-10-23 19:00:16,138185,115.0
Pinkfong,2024-10-21 19:00:53,47190,59.0
Pinkfong,2024-10-20 10:00:30,26057,46.0
Pinkfong,2024-10-19 10:00:25,52805,54.0
Pinkfong,2024-10-18 19:00:21,514975,12682.0
Pinkfong,2024-10-17 19:01:17,48927,109.0
Pinkfong,2024-10-16 19:01:06,46079,138.0
Pinkfong,2024-10-16 19:01:02,665205,13997.0
Pinkfong,2024-10-15 19:00:11,751426,16796.0
Pinkfong,2024-10-15 19:00:02,60414,137.0
Pinkfong,2024-10-13 10:00:08,43253,55.0
Pinkfong,2024-10-12 10:00:24,254102,477.0
Pinkfong,2024-10-10 19:00:02,117816,175.0
Pinkfong,2024-10-09 19:01:05,44510,98.0
Pinkfong,2024-10-07 19:00:53,718485,14919.0
Pinkfong,2024-10-06 10:00:23,53731,84.0
Pinkfong,2024-10-05 10:00:14,180434,344.0
Pinkfong,2024-10-03 19:00:19,63583,135.0
Pinkfong,2024-10-02 19:00:15,114794,161.0
Pinkfong,2024-10-02 19:00:12,482545,9049.0
Pinkfong,2024-09-30 19:01:01,378580,6086.0
Pinkfong,2024-09-29 10:00:36,48723,82.0
Pinkfong,2024-09-28 10:00:27,46229,69.0
Pinkfong,2024-09-27 19:00:18,40485,58.0
Pinkfong,2024-09-26 19:00:00,168440,329.0
Pinkfong,2024-09-23 19:00:01,38245,67.0
Pinkfong,2024-09-22 10:00:36,48350,76.0
Pinkfong,2024-09-21 20:00:13,92430,126.0
Pinkfong,2024-09-20 19:00:44,461775,10413.0
Pinkfong,2024-09-19 19:00:46,39028,55.0
Pinkfong,2024-09-17 10:00:12,63067,119.0
Pinkfong,2024-09-17 10:00:00,397139,9033.0
Pinkfong,2024-09-16 10:00:36,263255,573.0
Pinkfong,2024-09-15 10:00:07,101074,123.0
Pinkfong,2024-09-07 10:00:25,244694,516.0
Pinkfong,2024-09-14 10:00:07,74337,151.0
Pinkfong,2024-09-13 19:00:11,537140,8513.0
Pinkfong,2024-09-12 19:00:21,177079,423.0
Pinkfong,2024-09-12 13:00:04,158169,68.0
Pinkfong,2024-09-08 10:00:08,49596,73.0
Pinkfong,2024-09-06 19:00:37,25274,102.0
Pinkfong,2024-09-06 19:00:02,217485,4105.0
Pinkfong,2024-09-05 19:00:48,111576,254.0
Pinkfong,2024-09-05 19:00:23,453859,9790.0
Pinkfong,2024-09-04 19:00:12,162365,3616.0
Pinkfong,2024-09-03 19:00:34,491728,10995.0
Pinkfong,2024-09-01 10:00:07,63003,89.0
Pinkfong,2024-08-31 10:00:34,373614,778.0
Pinkfong,2024-08-30 19:00:42,279249,6496.0
Pinkfong,2024-08-29 19:00:28,117758,123.0
Pinkfong,2024-08-28 19:00:35,49498,125.0
Pinkfong,2024-08-28 19:00:17,280060,4782.0
Pinkfong,2024-08-27 19:00:18,229068,4775.0
Pinkfong,2024-08-25 10:00:11,37262,59.0
Pinkfong,2024-08-24 19:00:40,426128,3437.0
Pinkfong,2024-08-24 10:00:00,190171,500.0
Pinkfong,2024-08-23 19:00:52,669758,1656.0
Pinkfong,2024-08-22 19:00:32,242715,588.0
Pinkfong,2024-08-21 19:00:31,176800,3240.0
Pinkfong,2024-08-20 19:00:25,138136,3566.0
Pinkfong,2024-08-20 19:00:18,36261,24.0
Pinkfong,2024-08-18 10:00:05,74095,84.0
Pinkfong,2024-08-17 10:00:04,59792,102.0
Pinkfong,2024-08-16 19:01:05,366961,742.0
Pinkfong,2024-08-15 19:00:17,138646,309.0
Pinkfong,2024-08-11 10:00:19,76801,152.0
Pinkfong,2024-08-10 10:00:34,64352,74.0
Pinkfong,2024-08-09 19:00:27,128280,239.0
Pinkfong,2024-08-08 19:00:28,139671,320.0
Pinkfong,2024-08-08 19:00:04,180386,2639.0
Pinkfong,2024-08-07 19:00:42,269085,4397.0
Pinkfong,2024-08-07 19:00:10,608017,11343.0
Pinkfong,2024-08-06 19:00:43,281133,4828.0
Pinkfong,2024-08-04 10:00:10,264472,554.0
Pinkfong,2024-08-03 10:00:36,168483,462.0
Pinkfong,2024-08-02 19:00:58,107438,2217.0
Pinkfong,2024-08-01 19:00:10,205428,222.0
Pinkfong,2024-08-01 10:00:34,105151,59.0
Pinkfong,2024-07-30 19:00:19,236699,4863.0
Pinkfong,2024-07-28 10:00:12,227688,304.0
Pinkfong,2024-07-27 10:00:07,86103,190.0
Pinkfong,2024-07-26 19:01:02,38298,39.0
Pinkfong,2024-07-24 19:01:03,65626,66.0
Pinkfong,2024-07-24 19:00:36,641792,9578.0
Pinkfong,2024-07-23 19:00:22,184024,5803.0
Pinkfong,2024-07-21 10:00:28,102139,180.0
Pinkfong,2024-07-20 19:00:03,713022,9758.0
Pinkfong,2024-07-20 10:00:10,42073,73.0
Pinkfong,2024-07-19 19:00:53,128676,2567.0
Pinkfong,2024-07-18 19:00:54,208011,335.0
Pinkfong,2024-07-16 19:00:25,231932,3306.0
Pinkfong,2024-07-15 19:00:51,42247,49.0
Pinkfong,2024-07-14 10:00:13,133148,180.0
Pinkfong,2024-07-12 19:00:11,260232,3785.0
Pinkfong,2024-07-11 19:01:02,73999,175.0
Pinkfong,2024-07-11 19:00:50,90741,1686.0
Pinkfong,2024-07-10 19:00:24,631408,8654.0
Pinkfong,2024-07-09 19:00:19,109096,2047.0
Pinkfong,2024-07-08 19:01:01,32006,47.0
Pinkfong,2024-07-07 10:00:13,160208,310.0
Pinkfong,2024-07-06 10:00:26,93010,238.0
Pinkfong,2024-07-05 19:00:08,740533,548.0
Pinkfong,2024-07-02 19:00:56,77525,1581.0
Pinkfong,2024-07-01 19:00:39,27434,38.0
Pinkfong,2024-06-30 19:00:34,45692,71.0
Pinkfong,2024-06-29 19:00:24,580855,9216.0
